"","Linf","length_type","K","t0","sex","temp","Lm","","omega","country","locality","questionable","captive","NA","NA"
"133",42.6,"SL",0.29,-0.21,NA,NA,26,NA,2.72,"Australia","Great Barrier Reef","No","No","Acanthurus_xanthopterus",1261
"134",38,"TL",0.31,NA,NA,NA,NA,NA,2.65,"Brazil","Itaipu Reservoir","No","No","Acestrorhynchus_lacustris",51077
"135",38,"TL",0.4,NA,NA,NA,NA,NA,2.76,"Brazil","Itaipu Reservoir","No","No","Acestrorhynchus_lacustris",51077
"136",38,"TL",0.4,NA,NA,NA,NA,NA,2.76,"Brazil","River Paraná floodplain","No","No","Acestrorhynchus_lacustris",51077
"137",20.9,"TL",1.09,NA,NA,NA,20.5,NA,2.68,"Mexico","Huizache-Caimanero lagoon","No","No","Achirus_mazatlanus",10429
"138",68.2,"TL",0.14,0.06,"F",NA,18.5,65.3,2.81,"Australia","Western Australia, bet. Albany (35°01'S, 117°58'E) and Esperance (33°45'S, 21°55'E)","No","No","Achoerodus_gouldii",14420
"139",98.2,"TL",0.08,-0.48,"M",NA,19,NA,2.89,"Australia","Western Australia, bet. Albany (35°01'S, 117°58'E) and Esperance (33°45'S, 21°55'E)","No","No","Achoerodus_gouldii",14420
"140",12,"TL",0.26,NA,NA,NA,NA,NA,1.57,"Spain","River Duero","No","No","Achondrostoma_arcasii",23608
"141",13.3,"TL",0.27,-0.01,NA,NA,NA,NA,1.68,"Spain","River Duero","No","No","Achondrostoma_arcasii",23608
"142",143,"TL",0.03,-3.3,NA,NA,NA,NA,2.79,"","Europe (not specified)","No","No","Acipenser_baerii_baerii",4683
"143",149,"TL",0.06,-2.59,NA,NA,NA,NA,3.12,"Russia","Enisey river","No","No","Acipenser_baerii_baerii",4683
"144",161.9,"TL",0.07,0.02,NA,NA,NA,NA,3.26,"Russia","Irtysh river","No","No","Acipenser_baerii_baerii",4683
"145",144,"TL",0.04,2,NA,NA,NA,NA,2.92,NA,"St. John's River, New Brunswick","Yes","No","Acipenser_brevirostrum",2590
"146",148,"TL",0.05,-4.87,NA,NA,NA,NA,3.04,"","Lac de Deux Montagnes","No","No","Acipenser_fulvescens",2591
"147",156,"TL",0.03,-5.59,NA,0.06,NA,NA,2.9,"","Nottaway River","No","No","Acipenser_fulvescens",2591
"148",156,"TL",0.04,-0.02,NA,NA,NA,NA,2.99,"USA","Menominee River, WI-MI","No","No","Acipenser_fulvescens",2591
"149",162,"TL",0.05,-5.04,NA,NA,NA,NA,3.07,"","Lac Saint-Pierre","No","No","Acipenser_fulvescens",2591
"150",178,"TL",0.05,NA,NA,0.06,8,112.5,3.2,"USA","Lake Winnebago, Wisconsin","No","No","Acipenser_fulvescens",2591
"151",191,"TL",0.03,-9.57,NA,NA,NA,NA,3.03,"USA","Grasse River, New York","No","No","Acipenser_fulvescens",2591
"152",192,"TL",0.03,-8.46,NA,NA,NA,NA,3.04,"","Lac Saint-Louis","Yes","No","Acipenser_fulvescens",2591
"153",224,"TL",0.02,-12.34,NA,NA,NA,NA,3.04,"","Saint Lawrence River","No","No","Acipenser_fulvescens",2591
"154",236,"TL",0.05,-2.51,NA,NA,NA,NA,3.44,"Russia","Sea of Azov","No","No","Acipenser_gueldenstaedtii",4712
"155",253,"TL",0.05,-3.5,NA,0.1,13.6,105,3.46,"Russia","Azov Sea","No","No","Acipenser_gueldenstaedtii",4712
"156",254.3,"TL",0.03,NA,NA,NA,NA,NA,3.29,"","NW Black Sea","No","No","Acipenser_gueldenstaedtii",4712
"157",190,"TL",0.09,NA,NA,NA,14,NA,3.5,"","Mediterranean","No","No","Acipenser_medirostris",2592
"158",238,"TL",0.05,2,NA,NA,NA,NA,3.45,"USA","Klamath River, California","Yes","No","Acipenser_medirostris",2592
"159",205,"TL",0.05,-4.35,NA,NA,NA,NA,3.35,"Kazakhstan","Aral Lake","No","No","Acipenser_nudiventris",2505
"160",205,"TL",0.12,NA,NA,0.15,NA,NA,3.7,"Russia","Southern Caspian & Ural River","No","No","Acipenser_nudiventris",2505
"161",222.7,"TL",0.07,-2.28,NA,NA,NA,NA,3.54,"Russia","Ural river","No","No","Acipenser_nudiventris",2505
"162",250,"",0.04,NA,NA,NA,12.5,130,3.4,"","Europe","No","No","Acipenser_nudiventris",2505
"163",180,"FL",0.15,NA,"M",NA,NA,NA,3.68,"USA","off central New Jersey coast","Yes","No","Acipenser_oxyrinchus_oxyrinchus",2593
"164",184,"TL",0.14,NA,"",NA,NA,NA,3.68,"USA","Suwannee River, Florida","Yes","No","Acipenser_oxyrinchus_oxyrinchus",2593
"165",199,"FL",0.12,NA,"F",NA,NA,NA,3.68,"USA","off central New Jersey coast","Yes","No","Acipenser_oxyrinchus_oxyrinchus",2593
"166",236,"TL",0.06,NA,"",NA,NA,NA,3.52,"USA","Kennebec, Maine","No","No","Acipenser_oxyrinchus_oxyrinchus",2593
"167",242,"TL",0.12,NA,"",NA,NA,NA,3.85,"USA","Winyah Bay, South Carolina","Yes","No","Acipenser_oxyrinchus_oxyrinchus",2593
"168",256,"TL",0.07,-3.2,"F",NA,NA,NA,3.66,"USA","Hudson River, New York","No","No","Acipenser_oxyrinchus_oxyrinchus",2593
"169",315,"TL",0.03,NA,"",NA,NA,NA,3.47,"","St. Lawrence River","No","No","Acipenser_oxyrinchus_oxyrinchus",2593
"170",57.8,"TL",0.13,NA,NA,0.22,NA,NA,2.64,"","Mediterranean","No","No","Acipenser_ruthenus",4604
